seed,group,N,ep_init_window_lo,ep_init_window_hi,peak_update,sigma_init,ep_init,ep_peak,ep_final,climb,slide,cts
6,original,2441,849,899,1548,0.02122,-0.923255,-0.760833,-0.968319,0.162422,0.207485,True
7,original,2441,823,873,852,0.028428,0.452905,0.448859,-1.009609,-0.004046,1.458469,False
8,original,2441,837,887,1603,0.018406,-0.969288,-0.53018,-1.310538,0.439108,0.780358,True
9,original,2441,841,891,2102,0.023918,-0.545712,0.178502,-0.115136,0.724214,0.293637,True
10,original,2441,841,891,841,0.078524,-0.942624,-0.8574,-1.216877,0.085224,0.359477,False
11,escalation,2441,830,880,1504,0.030381,-0.401415,-0.027054,-0.463507,0.374361,0.436453,gate-gated
12,escalation,2441,834,884,2324,0.033319,-0.942624,-0.299525,-0.362495,0.6431,0.062971,gate-gated
13,escalation,2441,844,894,2018,0.026707,-0.673693,-0.009315,-0.369931,0.664377,0.360616,gate-gated
14,escalation,2441,826,876,1567,0.069636,-0.979296,-0.37323,-1.622822,0.606065,1.249592,gate-gated
15,escalation,2441,867,917,1849,0.039013,-1.700204,-0.74515,-1.176918,0.955054,0.431768,gate-gated
16,escalation,2441,838,888,876,0.053293,0.171155,0.197407,-0.267031,0.026252,0.464438,gate-gated
17,escalation,2441,849,899,1636,0.027316,-0.671436,-0.602276,-1.375051,0.06916,0.772775,gate-gated
18,escalation,2441,852,902,1310,0.06169,-0.919413,-0.676802,-1.096552,0.242611,0.41975,gate-gated
19,escalation,2441,829,879,1488,0.053154,-0.223199,-0.015598,-0.251008,0.207601,0.23541,gate-gated
20,escalation,2441,848,898,2427,0.025466,-0.440663,-0.197769,-0.218415,0.242895,0.020646,gate-gated
